epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.4,1.86064,3.93719,0.69858,2.52712,1.87348,0.48273,0.52085,0.47527,0.24377,0.55226,0.55182,0.56542,0.30508,1.77581,2.43387,0.57467,1.67556,1.74328,0.00332872,0.00332872,0.00332872
2,198.583,1.70527,2.15651,0.59597,1.8859,1.67187,0.47546,0.49212,0.4847,0.21871,0.61458,0.50508,0.58789,0.41572,1.73604,1.71022,0.46558,1.67739,1.78927,0.0065961,0.0065961,0.0065961
3,294.925,1.76966,1.93211,0.56044,1.89343,1.72317,0.36514,0.48783,0.37775,0.15495,0.4695,0.5006,0.45456,0.31197,1.86694,1.85183,0.44237,1.76092,1.88326,0.00979747,0.00979747,0.00979747
4,392.902,1.81508,1.93265,0.53424,1.94998,1.75422,0.51331,0.45027,0.41399,0.18529,0.58449,0.51909,0.53283,0.39543,1.82676,1.57564,0.40293,1.6647,1.8479,0.009703,0.009703,0.009703
5,490.436,1.74682,1.73302,0.49939,1.85548,1.71353,0.47946,0.57651,0.51763,0.25179,0.53151,0.61433,0.59661,0.46811,1.74682,1.57507,0.3834,1.69933,1.7926,0.009604,0.009604,0.009604
6,594.515,1.71399,1.64883,0.46854,1.79468,1.69029,0.57984,0.43364,0.49019,0.22982,0.70538,0.52331,0.61735,0.48984,1.72447,1.41285,0.36223,1.64781,1.78691,0.009505,0.009505,0.009505
7,694.822,1.67875,1.56086,0.4483,1.74051,1.66406,0.54183,0.57885,0.57531,0.29134,0.63462,0.65182,0.67196,0.56615,1.64776,1.26152,0.34137,1.53739,1.70573,0.009406,0.009406,0.009406
8,791.333,1.63606,1.47447,0.42922,1.68989,1.6357,0.66529,0.62143,0.64932,0.34176,0.73744,0.6779,0.75612,0.64183,1.65351,1.2932,0.34101,1.51036,1.72931,0.009307,0.009307,0.009307
9,887.824,1.62204,1.41306,0.41499,1.66657,1.62123,0.65111,0.59092,0.64628,0.32696,0.80683,0.67012,0.77348,0.6596,1.58849,1.17199,0.31781,1.4485,1.64668,0.009208,0.009208,0.009208
10,995.457,1.59712,1.37419,0.4042,1.64073,1.60431,0.6645,0.6346,0.64987,0.35246,0.73076,0.68549,0.7428,0.62666,1.56984,1.18153,0.31636,1.43303,1.64105,0.009109,0.009109,0.009109
11,1110.27,1.57238,1.35045,0.39647,1.62881,1.59461,0.766,0.65733,0.72343,0.38542,0.84803,0.72828,0.8249,0.69511,1.55447,1.14508,0.30412,1.3954,1.64171,0.00901,0.00901,0.00901
12,1214.3,1.56419,1.32719,0.39108,1.60854,1.58498,0.72077,0.65468,0.7178,0.39478,0.78233,0.7142,0.79321,0.6818,1.52489,1.0995,0.30456,1.38346,1.62029,0.008911,0.008911,0.008911
13,1317.15,1.55605,1.27553,0.38222,1.59055,1.57515,0.6933,0.70525,0.70813,0.38572,0.76771,0.76169,0.80547,0.69559,1.54138,1.06887,0.30569,1.36114,1.60156,0.008812,0.008812,0.008812
14,1419.67,1.5383,1.26023,0.38155,1.56984,1.5635,0.7551,0.67688,0.74267,0.409,0.87034,0.75229,0.84445,0.72626,1.51716,1.03858,0.30498,1.34243,1.59568,0.008713,0.008713,0.008713
15,1522.11,1.51336,1.21674,0.37189,1.55399,1.54584,0.71865,0.68935,0.72084,0.4074,0.79464,0.75889,0.81941,0.71786,1.47608,1.00235,0.29577,1.34297,1.57442,0.008614,0.008614,0.008614
16,1624.14,1.51293,1.21136,0.36813,1.54272,1.54516,0.6853,0.70483,0.71497,0.4112,0.76911,0.75916,0.80997,0.70479,1.47469,1,0.28934,1.33658,1.56366,0.008515,0.008515,0.008515
17,1725.86,1.50214,1.20498,0.36795,1.52974,1.54224,0.75642,0.67268,0.73454,0.41803,0.83878,0.72833,0.82645,0.7252,1.46185,0.98529,0.28703,1.2856,1.54969,0.008416,0.008416,0.008416
18,1822.09,1.50034,1.18844,0.36369,1.52061,1.53383,0.76774,0.64916,0.73523,0.42313,0.84282,0.71718,0.81794,0.72121,1.47458,0.97069,0.28573,1.31039,1.56757,0.008317,0.008317,0.008317
19,1917.69,1.48423,1.16745,0.36174,1.50266,1.52634,0.68135,0.67113,0.73372,0.43792,0.76166,0.74294,0.83418,0.74037,1.43928,0.9419,0.28121,1.29453,1.53574,0.008218,0.008218,0.008218
20,2013.06,1.48071,1.15624,0.35656,1.50091,1.52087,0.72307,0.69452,0.74863,0.44261,0.82558,0.76453,0.84846,0.74693,1.45568,0.93164,0.27752,1.28438,1.5416,0.008119,0.008119,0.008119
21,2108.72,1.47922,1.15558,0.35464,1.49638,1.52392,0.74595,0.74194,0.78149,0.46758,0.86491,0.79658,0.88082,0.78015,1.43241,0.9287,0.27477,1.26861,1.53358,0.00802,0.00802,0.00802
22,2204.02,1.46759,1.12648,0.35202,1.48473,1.51049,0.75219,0.73882,0.77742,0.456,0.82869,0.79115,0.85903,0.76216,1.43348,0.89257,0.27846,1.2679,1.51341,0.007921,0.007921,0.007921
23,2299.31,1.45607,1.09304,0.34628,1.46331,1.50806,0.75685,0.70251,0.78029,0.46588,0.83824,0.78045,0.87441,0.76793,1.43627,0.87696,0.27658,1.24723,1.54367,0.007822,0.007822,0.007822
24,2394.65,1.448,1.07619,0.34164,1.46577,1.49568,0.73685,0.71872,0.76497,0.4524,0.81488,0.80213,0.86421,0.77016,1.42215,0.87649,0.2703,1.25547,1.53035,0.007723,0.007723,0.007723
25,2490.24,1.44652,1.0739,0.34065,1.44203,1.49517,0.74595,0.69579,0.76754,0.45821,0.82606,0.77373,0.86325,0.76612,1.40956,0.90384,0.26789,1.24927,1.50584,0.007624,0.007624,0.007624
26,2585.65,1.44184,1.07415,0.33588,1.44955,1.48418,0.78486,0.72944,0.7945,0.4673,0.83848,0.80588,0.8825,0.7755,1.40365,0.86058,0.26582,1.21945,1.50687,0.007525,0.007525,0.007525
27,2681.15,1.43812,1.05214,0.33398,1.45055,1.48687,0.71296,0.75112,0.78002,0.47268,0.79885,0.81738,0.87347,0.77951,1.39363,0.8447,0.262,1.23674,1.50024,0.007426,0.007426,0.007426
28,2776.67,1.41465,1.01772,0.33151,1.41771,1.46236,0.80617,0.73103,0.79441,0.48737,0.88211,0.82313,0.89279,0.79376,1.39697,0.85001,0.26393,1.23168,1.49231,0.007327,0.007327,0.007327
